"COUNTRY","FUNCTION","GENDER","MEASURE","OBS_STATUS","ObsValue","POWERCODE","SECTPERF","TIME_FORMAT","Time","UNIT","lnrdworker"
"DEU","RSE","_T","FTE",,"128200","0","_T","P1Y","1981","FTE",11.7613468234687
"DEU","RSE","_T","FTE",,"134525","0","_T","P1Y","1983","FTE",11.8095053343576
"DEU","RSE","_T","FTE",,"147419","0","_T","P1Y","1985","FTE",11.9010341513802
"DEU","RSE","_T","FTE","B","165616","0","_T","P1Y","1987","FTE",12.0174271346235
"DEU","RSE","_T","FTE",,"176402","0","_T","P1Y","1989","FTE",12.080520760359
"DEU","RSE","_T","FTE","B","241869","0","_T","P1Y","1991","FTE",12.396151536257
"DEU","RSE","_T","FTE",,"230107","0","_T","P1Y","1993","FTE",12.3462996971166
"DEU","RSE","_T","FTE",,"231128","0","_T","P1Y","1995","FTE",12.3507269485944
"DEU","RSE","_T","FTE","E","230189","0","_T","P1Y","1996","FTE",12.346655989593
"DEU","RSE","_T","FTE",,"235793","0","_T","P1Y","1997","FTE",12.37070958047
"DEU","RSE","_T","FTE","E","237712","0","_T","P1Y","1998","FTE",12.3788151358771
"DEU","RSE","_T","FTE",,"254691","0","_T","P1Y","1999","FTE",12.4478063246542
"DEU","RSE","_T","FTE","E","257874","0","_T","P1Y","2000","FTE",12.4602263725182
"DEU","RSE","_T","FTE",,"264385","0","_T","P1Y","2001","FTE",12.4851616531264
"DEU","RSE","_T","FTE","E","265812","0","_T","P1Y","2002","FTE",12.4905445709691
"DEU","RSE","_T","FTE",,"268942","0","_T","P1Y","2003","FTE",12.5022510219532
"DEU","RSE","_T","FTE",,"270215","0","_T","P1Y","2004","FTE",12.5069732174011
"DEU","RSE","_T","FTE",,"272148","0","_T","P1Y","2005","FTE",12.5141013149469
"DEU","RSE","_T","FTE",,"279822","0","_T","P1Y","2006","FTE",12.5419089657137
"DEU","RSE","_T","FTE",,"290853","0","_T","P1Y","2007","FTE",12.5805732638809
"DEU","RSE","_T","FTE","E","302641","0","_T","P1Y","2008","FTE",12.6203025635573
"DEU","RSE","_T","FTE",,"317307","0","_T","P1Y","2009","FTE",12.6676250384688
"DEU","RSE","_T","FTE","E","327996","0","_T","P1Y","2010","FTE",12.70075669217
"DEU","RSE","_T","FTE",,"338689","0","_T","P1Y","2011","FTE",12.7328375611601
"DEU","RSE","_T","FTE",,"352419","0","_T","P1Y","2012","FTE",12.7725760875953
"DEU","RSE","_T","FTE",,"354463","0","_T","P1Y","2013","FTE",12.7783592471517
"DEU","RSE","_T","FTE",,"351923","0","_T","P1Y","2014","FTE",12.771167680651
"DEU","RSE","_T","FTE",,"387982","0","_T","P1Y","2015","FTE",12.8687142257767
"DEU","RSE","_T","FTE",,"399605","0","_T","P1Y","2016","FTE",12.8982318381908
"DEU","RSE","_T","FTE",,"419617","0","_T","P1Y","2017","FTE",12.9470976694596
"DEU","RSE","_T","FTE",,"433685.036","0","_T","P1Y","2018","FTE",12.9800738261155
"DEU","RSE","_T","FTE",,"450697.27","0","_T","P1Y","2019","FTE",13.0185511514161
"DEU","RSE","_T","FTE",,"450796.444","0","_T","P1Y","2020","FTE",13.0187711729179
"DEU","RSE","_T","FTE",,"461645","0","_T","P1Y","2021","FTE",13.0425514764262
"JPN","RSE","_T","FTE","D","392625","0","_T","P1Y","1981","FTE",12.8806102368409
"JPN","RSE","_T","FTE","D","406042","0","_T","P1Y","1982","FTE",12.9142118815093
"JPN","RSE","_T","FTE","D","435340","0","_T","P1Y","1983","FTE",12.9838826139688
"JPN","RSE","_T","FTE","D","447719","0","_T","P1Y","1984","FTE",13.0119210824619
"JPN","RSE","_T","FTE","D","473296","0","_T","P1Y","1985","FTE",13.0674762645592
"JPN","RSE","_T","FTE","D","487779","0","_T","P1Y","1986","FTE",13.0976177134068
"JPN","RSE","_T","FTE","D","513267","0","_T","P1Y","1987","FTE",13.1485514565928
"JPN","RSE","_T","FTE","D","535008","0","_T","P1Y","1988","FTE",13.1900369790374
"JPN","RSE","_T","FTE","D","560276","0","_T","P1Y","1989","FTE",13.23618479844
"JPN","RSE","_T","FTE","D","582815","0","_T","P1Y","1990","FTE",13.2756250907894
"JPN","RSE","_T","FTE","D","598333","0","_T","P1Y","1991","FTE",13.3019027341332
"JPN","RSE","_T","FTE","D","622410","0","_T","P1Y","1992","FTE",13.3413543185553
"JPN","RSE","_T","FTE","D","641083","0","_T","P1Y","1993","FTE",13.3709142126997
"JPN","RSE","_T","FTE","D","658866","0","_T","P1Y","1994","FTE",13.3982754544171
"JPN","RSE","_T","FTE","D","673421","0","_T","P1Y","1995","FTE",13.4201259702541
"JPN","RSE","_T","FTE","BD","617365","0","_T","P1Y","1996","FTE",13.3332157001009
"JPN","RSE","_T","FTE","D","625442","0","_T","P1Y","1997","FTE",13.3462138787705
"JPN","RSE","_T","FTE","D","652845","0","_T","P1Y","1998","FTE",13.3890950140797
"JPN","RSE","_T","FTE","D","658910","0","_T","P1Y","1999","FTE",13.3983422335966
"JPN","RSE","_T","FTE","D","647572","0","_T","P1Y","2000","FTE",13.3809852632851
"JPN","RSE","_T","FTE","D","653021","0","_T","P1Y","2001","FTE",13.3893645670064
"JPN","RSE","_T","FTE","D","623035","0","_T","P1Y","2002","FTE",13.3423579759668
"JPN","RSE","_T","FTE","D","652369","0","_T","P1Y","2003","FTE",13.3883656317392
"JPN","RSE","_T","FTE","D","653747","0","_T","P1Y","2004","FTE",13.3904757054406
"JPN","RSE","_T","FTE","D","680631","0","_T","P1Y","2005","FTE",13.4307755880575
"JPN","RSE","_T","FTE","D","684884","0","_T","P1Y","2006","FTE",13.4370047598385
"JPN","RSE","_T","FTE","D","684311","0","_T","P1Y","2007","FTE",13.4361677716324
"JPN","RSE","_T","FTE","BD","656676","0","_T","P1Y","2008","FTE",13.394946025143
